231,226,233,243,243,239,243,241,235,241,236,234,236,235,227,235,236,233,236,235
255,254,253,255,254,251,255,255,252,255,255,251,255,254,252,255,255,251,255,254
255,252,251,254,252,252,255,252,251,254,251,251,255,252,251,254,251,251,255,252
252,261,252,257,258,255,252,261,252,256,270,266,262,264,264,265,264,266,264,264
266,262,260,264,259,265,263,259,265,269,280,276,267,267,289,267,265,267,266,264
254,255,256,257,254,254,254,255,254,261,255,254,254,255,255,254,254,255,254,257
256,260,257,256,257,257,256,257,259,256,257,257,255,267,264,264,265,265,264,267
267,266,263,263,263,263,260,263,262,276,278,272,274,276,276,271,273,265,265,268
285,281,277,271,275,270,274,263,263,264,263,262,270,264,278,272,272,268,267,266
273,264,261,261,268,265,265,261,259,259,263,260,259,264,270,260,272,266,265,261
269,266,276,286,269,262,265,271,271,266,265,263,265,263,268,267,265,272,273,267
257,286,277,273,290,267,274,265,264,273,264,271,265,258,261,262,260,261,261,258
270,274,277,271,269,284,283,293,295,295,288,282,284,287,282,274,272,275,273,272
273,269,271,269,279,276,268,272,270,272,287,280,280,276,274,271,269,269,294,273
276,277,286,275,266,266,266,287,285,279,277,282,280,289,278,276,277,274,276,275
283,273,271,275,277,273,283,272,293,271,274,271,273,288,292,280,279,286,278,277
291,290,286,293,297,286,301,284,298,293,275,297,281,283,301,283,286,279,292,282
292,298,291,299,294,300,298,301,299,294,296,292,310,295,316,293,311,294,294,299
316,314,325,321,314,316,318,315,317,319,315,314,317,312,315,317,319,311,339,318
339,347,343,354,357,350,362,341,345,339,341,339,345,338,340,341,340,339,340,338
375,379,377,377,376,376,376,374,374,375,379,377,379,375,374,374,375,373,374,374
426,411,427,416,415,411,411,411,411,414,412,409,413,411,413,419,410,411,415,409
